交易时间，交易类型，交易金额，账户类型，对方账号，商品说明
2026-02-28 14:30:00，消费，-25.00，零钱，美团外卖，餐饮
2026-02-28 10:15:00，收入，+5000.00，零钱，工资转账，工资
2026-02-27 19:20:00，消费，-45.00，零钱，滴滴出行，交通
2026-02-27 12:00:00，消费，-38.00，零钱，肯德基，餐饮
2026-02-26 20:30:00，消费，-199.00，零钱，淘宝购物，购物
2026-02-26 15:00:00，消费，-30.00，零钱，星巴克，餐饮
2026-02-25 18:00:00，消费，-50.00，零钱，电影院，娱乐
2026-02-25 08:30:00，消费，-4.00，零钱，地铁，交通
2026-02-24 21:00:00，消费，-128.00，零钱，京东超市，购物
2026-02-24 12:30:00，消费，-22.00，零钱，美团外卖，餐饮
2026-02-23 16:00:00，消费，-365.00，零钱，保险公司，金融
2026-02-23 10:00:00，收入，+1000.00，零钱，朋友转账，人情
2026-02-22 19:00:00，消费，-156.00，零钱，火锅店，餐饮
2026-02-22 14:00:00，消费，-89.00，零钱，药店，医疗
2026-02-21 20:00:00，消费，-299.00，零钱，商场购物，购物
2026-02-21 08:00:00，消费，-3.00，零钱，共享单车，交通
2026-02-20 18:30:00，消费，-68.00，零钱，视频会员，娱乐
2026-02-20 12:00:00，消费，-35.00，零钱，快餐店，餐饮
2026-02-19 22:00:00，消费，-200.00，零钱，KTV，娱乐
2026-02-19 09:00:00，消费，-5.00，零钱，公交车，交通
